job_id,job_name,run_date,campaign_id,input_data_gb,output_data_gb,executor_count,executor_memory_gb,executor_cores,shuffle_gb,peak_memory_gb,execution_time_min,status,oom,campaign_type,expected_customers,expected_transactions,priority,is_campaign_day,transaction_per_customer
J001,customer_segmentation,2026-09-01,,250,80,10,32,4,600,25,24,SUCCESS,0,NONE,0.0,0.0,NONE,0,0.0
J002,customer_segmentation,2026-09-02,,270,85,10,32,4,650,27,26,SUCCESS,0,NONE,0.0,0.0,NONE,0,0.0
J003,customer_segmentation,2026-09-03,,300,90,10,32,4,720,30,29,SUCCESS,0,NONE,0.0,0.0,NONE,0,0.0
J004,customer_segmentation,2026-09-05,C002,700,210,12,32,4,1600,31,48,SUCCESS,0,DISCOUNT,150000.0,700000.0,MEDIUM,1,4.666666666666667
J005,customer_segmentation,2026-09-06,C002,800,240,12,32,4,1800,32,55,SUCCESS,0,DISCOUNT,150000.0,700000.0,MEDIUM,1,4.666666666666667
J006,customer_segmentation,2026-09-15,C003,1500,450,12,32,4,4200,32,120,FAILED,1,CASHBACK,5000000.0,25000000.0,HIGH,1,5.0
J007,customer_segmentation,2026-09-16,C003,1800,520,12,32,4,5000,32,145,FAILED,1,CASHBACK,5000000.0,25000000.0,HIGH,1,5.0
J008,customer_segmentation,2026-09-17,C003,1600,480,16,64,4,4500,61,90,SUCCESS,0,CASHBACK,5000000.0,25000000.0,HIGH,1,5.0
J009,customer_segmentation,2026-10-01,C004,1100,330,16,64,4,3200,59,72,SUCCESS,0,LOAN,2000000.0,8000000.0,HIGH,1,4.0
J010,customer_segmentation,2026-10-02,C004,1300,390,16,64,4,3800,63,85,SUCCESS,0,LOAN,2000000.0,8000000.0,HIGH,1,4.0
